,ID,Accession,Country,Latitude,Longitude,M_persicae
0,88,CYR,France,47.4,0.683333,0
1,108,LDV-18,France,48.5167,-4.06667,0
2,139,LDV-46,France,48.5167,-4.06667,0
3,159,MAR2-3,France,47.35,3.93333,2
4,265,PYL-6,France,44.65,-1.16667,0
5,350,TOU-A1-88,France,46.6667,4.11667,0
6,351,TOU-A1-89,France,46.6667,4.11667,0
7,403,Zdarec3,Czech Republic,49.3667,16.2667,1
8,410,Doubravnik7,Czech Republic,49.4211,16.3497,1
9,424,Draha2,Czech Republic,49.4112,16.2815,1
10,428,Borky1,Czech Republic,49.403,16.232,1
11,430,Gr-1,Austria,47.0,15.5,0
12,470,BRR4,US,40.8313,-87.735,51
13,476,BRR12,US,40.8313,-87.735,51
14,484,BRR23,US,40.8313,-87.735,51
15,504,BRR57,US,40.8313,-87.735,51
16,506,BRR60,US,40.8313,-87.735,51
17,531,BRR107,US,40.8313,-87.735,51
18,544,LI-WP-039,US,40.9076,-73.2089,0
19,546,LI-WP-041,US,40.9076,-73.2089,0
20,628,LI-OF-061,US,40.7777,-72.9069,0
21,630,LI-OF-065,US,40.7777,-72.9069,0
22,680,LI-RR-096,US,40.9447,-72.8615,0
23,681,LI-RR-097,US,40.9447,-72.8615,0
24,685,LI-EF-011,US,40.9064,-73.1493,0
25,687,LI-EF-018,US,40.9064,-73.1493,0
26,728,LI-SET-019,US,40.9352,-73.114,0
27,742,LI-SET-036,US,40.9352,-73.114,0
28,763,Kar-1,Kyrgyzstan,42.3,74.3667,0
29,765,Sus-1,Kyrgyzstan,42.1833,73.4,0
30,766,Dja-1,Kyrgyzstan,42.5833,73.6333,0
31,768,Zal-1,Kyrgyzstan,42.8,76.35,0
32,772,Neo-6,Tajikistan,37.35,72.4667,0
33,801,KYC-33,US,37.9169,-84.4639,0
34,853,MIA-1,US,41.7976,-86.6691,0
35,854,MIA-5,US,41.7976,-86.6691,0
36,867,MIC-20,US,41.8266,-86.4366,0
37,868,MIC-24,US,41.8266,-86.4366,0
38,870,MIC-31,US,41.8266,-86.4366,0
39,915,LIN S-5,US,41.8972,-71.4378,0
40,932,CHA-41,US,42.3634,-71.1445,0
41,991,Ale-Stenar-41-1,Sweden,55.3833,14.05,7
42,992,Ale-Stenar-44-4,Sweden,55.3833,14.05,7
43,997,Ale-Stenar-56-14,Sweden,55.3833,14.05,7
44,1002,Ale-Stenar-64-24,Sweden,55.3833,14.05,7
45,1006,Ale-Stenar-77-31,Sweden,55.3833,14.05,7
46,1061,Brösarp-11-135,Sweden,55.7167,14.1333,7
47,1062,Brösarp-15-138,Sweden,55.7167,14.1333,7
48,1063,Brösarp-21-140,Sweden,55.7167,14.1333,7
49,1066,Brösarp-34-145,Sweden,55.7167,14.1333,7
50,1070,Brösarp-45-153,Sweden,55.7167,14.1333,7
51,1158,Aledal-6-49,Sweden,56.7,16.5167,0
52,1166,Aledal-14-73,Sweden,56.7,16.5167,0
53,1254,Tos-82-387,Sweden,59.4333,17.0167,1
54,1257,Tos-95-393,Sweden,59.4333,17.0167,1
55,1313,Ängsö-59-422,Sweden,59.5667,16.8667,1
56,1317,Ängsö-74-430,Sweden,59.5667,16.8667,1
57,1552,Sku-30,Sweden,63.0833,18.3667,0
58,1612,Brn-10,US,41.9,-86.583,0
59,1622,Brn-24,US,41.9,-86.583,0
60,1651,DuckLkSP38,US,43.3431,-86.4045,0
61,1652,DuckLkSP40,US,43.3431,-86.4045,0
62,1676,Haz-2,US,41.879,-86.607,0
63,1684,Haz-10,US,41.879,-86.607,0
64,1739,KBS-Mac-68,US,42.405,-85.398,12
65,1741,KBS-Mac-74,US,42.405,-85.398,12
66,1756,Ker-4,US,42.184,-86.358,0
67,1757,Ker-5,US,42.184,-86.358,0
68,1793,L-R-5,US,41.847,-86.67,0
69,1797,L-R-10,US,41.847,-86.67,0
70,1819,Lak-12,US,41.8,-86.67,0
71,1820,Lak-13,US,41.8,-86.67,0
72,1829,Mdn-1,US,42.051,-86.509,0
73,1834,Mdn-8,US,42.051,-86.509,0
74,1835,Mdn-10,US,42.051,-86.509,0
75,1851,MNF-Pot-10,US,43.595,-86.2657,0
76,1852,MNF-Pot-15,US,43.595,-86.2657,0
77,1853,MNF-Pot-21,US,43.595,-86.2657,0
78,1872,MNF-Pot-75,US,43.595,-86.2657,0
79,1890,MNF-Riv-21,US,43.5139,-86.1859,0
80,1925,MNF-Che-2,US,43.5251,-86.1843,0
81,1942,MNF-Che-47,US,43.5251,-86.1843,0
82,1943,MNF-Che-49,US,43.5251,-86.1843,0
83,1954,MNF-Jac-12,US,43.5187,-86.1739,0
84,2016,MNF-Pin-39,US,43.5356,-86.1788,0
85,2017,MNF-Pin-40,US,43.5356,-86.1788,0
86,2031,Map-8,US,42.166,-86.412,0
87,2053,Map-35,US,42.166,-86.412,0
88,2057,Map-42,US,42.166,-86.412,0
89,2081,MuskSP-68,US,43.2483,-86.3368,0
90,2091,MuskSP-83,US,43.2483,-86.3368,0
91,2106,MSGA-10,US,43.2749,-86.0891,0
92,2108,MSGA-12,US,43.2749,-86.0891,0
93,2141,MSGA-61,US,43.2749,-86.0891,0
94,2159,Paw-13,US,42.148,-86.431,0
95,2166,Paw-20,US,42.148,-86.431,0
96,2171,Paw-26,US,42.148,-86.431,0
97,2191,Pent-7,US,43.7623,-86.3929,0
98,2202,Pent-23,US,43.7623,-86.3929,0
99,2212,Pent-46,US,43.7623,-86.3929,0
100,2239,Riv-25,US,42.184,-86.382,0
101,2240,Riv-26,US,42.184,-86.382,0
102,2276,SLSP-31,US,43.665,-86.496,0
103,2278,SLSP-35,US,43.665,-86.496,0
104,2285,SLSP-69,US,43.665,-86.496,0
105,2286,SLSP-67,US,43.665,-86.496,0
106,2317,Ste-40,US,42.03,-86.514,0
