ID,Accession,Country,Latitude,Longitude
88,CYR,France,47.4,0.683333
108,LDV-18,France,48.5167,-4.06667
139,LDV-46,France,48.5167,-4.06667
159,MAR2-3,France,47.35,3.93333
265,PYL-6,France,44.65,-1.16667
350,TOU-A1-88,France,46.6667,4.11667
351,TOU-A1-89,France,46.6667,4.11667
403,Zdarec3,Czech Republic,49.3667,16.2667
410,Doubravnik7,Czech Republic,49.4211,16.3497
424,Draha2,Czech Republic,49.4112,16.2815
428,Borky1,Czech Republic,49.403,16.232
430,Gr-1,Austria,47,15.5
470,BRR4,US,40.8313,-87.735
476,BRR12,US,40.8313,-87.735
484,BRR23,US,40.8313,-87.735
504,BRR57,US,40.8313,-87.735
506,BRR60,US,40.8313,-87.735
531,BRR107,US,40.8313,-87.735
544,LI-WP-039,US,40.9076,-73.2089
546,LI-WP-041,US,40.9076,-73.2089
628,LI-OF-061,US,40.7777,-72.9069
630,LI-OF-065,US,40.7777,-72.9069
680,LI-RR-096,US,40.9447,-72.8615
681,LI-RR-097,US,40.9447,-72.8615
685,LI-EF-011,US,40.9064,-73.1493
687,LI-EF-018,US,40.9064,-73.1493
728,LI-SET-019,US,40.9352,-73.114
742,LI-SET-036,US,40.9352,-73.114
763,Kar-1,Kyrgyzstan,42.3,74.3667
765,Sus-1,Kyrgyzstan,42.1833,73.4
766,Dja-1,Kyrgyzstan,42.5833,73.6333
768,Zal-1,Kyrgyzstan,42.8,76.35
772,Neo-6,Tajikistan,37.35,72.4667
801,KYC-33,US,37.9169,-84.4639
853,MIA-1,US,41.7976,-86.6691
854,MIA-5,US,41.7976,-86.6691
867,MIC-20,US,41.8266,-86.4366
868,MIC-24,US,41.8266,-86.4366
870,MIC-31,US,41.8266,-86.4366
915,LIN S-5,US,41.8972,-71.4378
932,CHA-41,US,42.3634,-71.1445
991,Ale-Stenar-41-1,Sweden,55.3833,14.05
992,Ale-Stenar-44-4,Sweden,55.3833,14.05
997,Ale-Stenar-56-14,Sweden,55.3833,14.05
1002,Ale-Stenar-64-24,Sweden,55.3833,14.05
1006,Ale-Stenar-77-31,Sweden,55.3833,14.05
1061,Brösarp-11-135,Sweden,55.7167,14.1333
1062,Brösarp-15-138,Sweden,55.7167,14.1333
1063,Brösarp-21-140,Sweden,55.7167,14.1333
1066,Brösarp-34-145,Sweden,55.7167,14.1333
1070,Brösarp-45-153,Sweden,55.7167,14.1333
1158,Aledal-6-49,Sweden,56.7,16.5167
1166,Aledal-14-73,Sweden,56.7,16.5167
1254,Tos-82-387,Sweden,59.4333,17.0167
1257,Tos-95-393,Sweden,59.4333,17.0167
1313,Ängsö-59-422,Sweden,59.5667,16.8667
1317,Ängsö-74-430,Sweden,59.5667,16.8667
1552,Sku-30,Sweden,63.0833,18.3667
1612,Brn-10,US,41.9,-86.583
1622,Brn-24,US,41.9,-86.583
1651,DuckLkSP38,US,43.3431,-86.4045
1652,DuckLkSP40,US,43.3431,-86.4045
1676,Haz-2,US,41.879,-86.607
1684,Haz-10,US,41.879,-86.607
1739,KBS-Mac-68,US,42.405,-85.398
1741,KBS-Mac-74,US,42.405,-85.398
1756,Ker-4,US,42.184,-86.358
1757,Ker-5,US,42.184,-86.358
1793,L-R-5,US,41.847,-86.67
1797,L-R-10,US,41.847,-86.67
1819,Lak-12,US,41.8,-86.67
1820,Lak-13,US,41.8,-86.67
1829,Mdn-1,US,42.051,-86.509
1834,Mdn-8,US,42.051,-86.509
1835,Mdn-10,US,42.051,-86.509
1851,MNF-Pot-10,US,43.595,-86.2657
1852,MNF-Pot-15,US,43.595,-86.2657
1853,MNF-Pot-21,US,43.595,-86.2657
1872,MNF-Pot-75,US,43.595,-86.2657
1890,MNF-Riv-21,US,43.5139,-86.1859
1925,MNF-Che-2,US,43.5251,-86.1843
1942,MNF-Che-47,US,43.5251,-86.1843
1943,MNF-Che-49,US,43.5251,-86.1843
