gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
932206740	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:16036626	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus	Boheman, 1845	SE	Munkahus, Bl	Blekinge	PRESENT	15	b8323864-602a-4a7d-9127-bb903054e97d	56.16748	14.8378	100.0						2010-05-19T00:00:00	19	5	2010	4464307	4464307	PRESERVED_SPECIMEN	SLU Artdatabanken	Artportalen	16036626				CC0_1_0	Bertil Eriksson	Bertil Eriksson			2024-01-13T13:28:35.172Z		TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE
911897440	dc55fd8a-47af-47fe-a59e-a2890c72fed1	42116	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus		NL			PRESENT	1	2498d55c-dcd2-4caf-abb7-14f2ffe05c37	51.701216	5.495694	1000.0						2002-07-02T00:00:00	2	7	2002	4464307	4464307	HUMAN_OBSERVATION	WUR-Alterra	insects-groene-dooradering	42116		J. Burgers	2002-01-01T00:00:00	CC_BY_NC_4_0					2023-08-26T12:50:16.691Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
883517608	f29ab192-5964-40ae-a397-fa48ffdf0661		Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus		DE	Ahrtal - Altenahr-Reimertzhoven, Moenchberg		PRESENT		0e2ae538-4332-4f41-bfee-8aa2c693d2a9	50.520901	6.99763			220.0				2012-05-14T00:00:00	14	5	2012	4464307	4464307	PRESERVED_SPECIMEN	ZSM	BOLD	GBOL_Col_FK_3454		Frank Koehler		CC_BY_4_0		Koehler, F. & W. Koehler			2023-09-07T11:42:33.201Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
883517607	f29ab192-5964-40ae-a397-fa48ffdf0661		Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus		DE	Ahrtal - Altenahr-Reimertzhoven, Moenchberg		PRESENT		0e2ae538-4332-4f41-bfee-8aa2c693d2a9	50.520901	6.99763			220.0				2012-05-14T00:00:00	14	5	2012	4464307	4464307	PRESERVED_SPECIMEN	ZSM	BOLD	GBOL_Col_FK_3455		Frank Koehler		CC_BY_4_0		Koehler, F. & W. Koehler			2023-09-07T11:42:33.201Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
883517580	f29ab192-5964-40ae-a397-fa48ffdf0661		Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus		DE	Moseltal - Moselkern, Rosenberg		PRESENT		0e2ae538-4332-4f41-bfee-8aa2c693d2a9	50.197701	7.37049			150.0				2012-05-08T00:00:00	8	5	2012	4464307	4464307	PRESERVED_SPECIMEN	ZSM	BOLD	GBOL_Col_FK_1630		Frank Koehler		CC_BY_4_0		Koehler, F. & W. Koehler			2023-09-07T11:42:32.995Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
883517554	f29ab192-5964-40ae-a397-fa48ffdf0661		Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus		DE	Moseltal - Moselkern, Rosenberg		PRESENT		0e2ae538-4332-4f41-bfee-8aa2c693d2a9	50.197701	7.37049			150.0				2012-05-08T00:00:00	8	5	2012	4464307	4464307	PRESERVED_SPECIMEN	ZSM	BOLD	GBOL_Col_FK_1629		Frank Koehler		CC_BY_4_0		Koehler, F. & W. Koehler			2023-09-07T11:42:32.995Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
883517510	f29ab192-5964-40ae-a397-fa48ffdf0661		Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus		DE	Moseltal - Moselkern, Rosenberg		PRESENT		0e2ae538-4332-4f41-bfee-8aa2c693d2a9	50.197701	7.37049			150.0				2012-05-08T00:00:00	8	5	2012	4464307	4464307	PRESERVED_SPECIMEN	ZSM	BOLD	BFB_Col_FK_8813		Frank Koehler		CC_BY_4_0		Koehler, F. & W. Koehler			2023-09-07T11:42:33.894Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
883517499	f29ab192-5964-40ae-a397-fa48ffdf0661		Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus		DE	Ahrtal - Altenahr-Reimertzhoven, Moenchberg		PRESENT		0e2ae538-4332-4f41-bfee-8aa2c693d2a9	51.0	7.0			220.0				2012-05-14T00:00:00	14	5	2012	4464307	4464307	PRESERVED_SPECIMEN	ZSM	BOLD	BFB_Col_FK_9949		Frank Koehler		CC_BY_4_0		Koehler, F. & W. Koehler			2023-09-07T11:42:33.319Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
883517495	f29ab192-5964-40ae-a397-fa48ffdf0661		Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus		DE	Moseltal - Moselkern, Rosenberg		PRESENT		0e2ae538-4332-4f41-bfee-8aa2c693d2a9	50.197701	7.37049			150.0				2012-05-08T00:00:00	8	5	2012	4464307	4464307	PRESERVED_SPECIMEN	ZSM	BOLD	BFB_Col_FK_8814		Frank Koehler		CC_BY_4_0		Koehler, F. & W. Koehler			2023-09-07T11:42:33.894Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
883517362	f29ab192-5964-40ae-a397-fa48ffdf0661		Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus		DE	Noerdliche Oberrheinebene - Freinsheim, Kastanienhain Im Hahnen		PRESENT		0e2ae538-4332-4f41-bfee-8aa2c693d2a9	49.499298	8.1934			150.0				2012-06-23T00:00:00	23	6	2012	4464307	4464307	PRESERVED_SPECIMEN	ZSM	BOLD	BFB_Col_FK_11842		Frank Koehler		CC_BY_4_0		Koehler, W.			2023-09-07T11:42:32.706Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
883517360	f29ab192-5964-40ae-a397-fa48ffdf0661		Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus		DE	Noerdliche Oberrheinebene - Freinsheim, Kastanienhain Im Hahnen		PRESENT		0e2ae538-4332-4f41-bfee-8aa2c693d2a9	49.499298	8.1934			150.0				2012-06-23T00:00:00	23	6	2012	4464307	4464307	PRESERVED_SPECIMEN	ZSM	BOLD	BFB_Col_FK_11843		Frank Koehler		CC_BY_4_0		Koehler, W.			2023-09-07T11:42:32.706Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
883516635	f29ab192-5964-40ae-a397-fa48ffdf0661		Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus		DE	Nordrhein, Niederrheinische Bucht - Bornheim-Brenig, Sandgrube		PRESENT		0e2ae538-4332-4f41-bfee-8aa2c693d2a9	50.748699	6.98695			160.0				2010-04-17T00:00:00	17	4	2010	4464307	4464307	PRESERVED_SPECIMEN	ZSM	BOLD	BC ZSM COL 00284		Frank Koehler		CC_BY_4_0		Koehler, F. & J. Koehler			2023-09-07T11:42:34.009Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4463303223	ce8530a2-cd4b-4e51-9927-76bf49b5a9a6	CCW0008000003KHU	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus	Boheman, 1845	GB	Tywyn Burrows, Aerial Firing Range	Wales	PRESENT	1	ee45975b-3d89-42b5-ac7a-c03f47b6dcb4	51.715334	-4.368132	707.1						2017-05-06T00:00:00	6	5	2017	4464307	4464307	HUMAN_OBSERVATION		CCW000800000001M			D.J. Gibbs		CC_BY_4_0	Natural Resources Wales	Gibbs, D.J.			2024-01-05T09:41:18.164Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4443891417	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:113379817	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus	Boheman, 1845	SE	Vombs boställe, Sk	Skåne	PRESENT	1	b8323864-602a-4a7d-9127-bb903054e97d	55.64625	13.54278	250.0						2023-04-29T00:00:00	29	4	2023	4464307	4464307	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	113379817				CC0_1_0	Martin Sjödahl	Martin Sjödahl, Max Jensen, Patrik Hall			2024-01-13T13:18:18.718Z		TAXON_MATCH_TAXON_ID_IGNORED
4434943680	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:sighting:112937188	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus	Boheman, 1845	SE	Kivik, Rosendal, Musteriet, Sk	Skåne	PRESENT	1	b8323864-602a-4a7d-9127-bb903054e97d	55.672	14.26662	10.0						2023-06-14T00:00:00	14	6	2023	4464307	4464307	HUMAN_OBSERVATION	SLU Artdatabanken	Artportalen	112937188				CC0_1_0	Håkan Lundkvist	Håkan Lundkvist			2024-01-13T13:24:32.838Z		TAXON_MATCH_TAXON_ID_IGNORED
4412729624	fb7078b9-63e4-41c1-8496-10f67ea1e1b9	http://id.luomus.fi/MY.14963480	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus Boheman, 1845		AX		Ahvenanmaa	PRESENT	1	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	59.950427	20.880235	1000.0						2000-06-11T00:00:00	11	6	2000	4464307	4464307	PRESERVED_SPECIMEN	MZH	FC	http://id.luomus.fi/KF.19633		Iivarinen, Risto		CC_BY_4_0		Iivarinen, Risto			2024-01-14T05:37:49.175Z		COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4412729611	fb7078b9-63e4-41c1-8496-10f67ea1e1b9	http://id.luomus.fi/MY.14963488	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus Boheman, 1845		AX		Ahvenanmaa	PRESENT	1	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	59.950427	20.880235	1000.0						2000-06-11T00:00:00	11	6	2000	4464307	4464307	PRESERVED_SPECIMEN	MZH	FC	http://id.luomus.fi/KF.19635		Iivarinen, Risto		CC_BY_4_0		Iivarinen, Risto			2024-01-14T05:37:49.174Z		COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4412729583	fb7078b9-63e4-41c1-8496-10f67ea1e1b9	http://id.luomus.fi/MY.14963460	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus Boheman, 1845		AX		Ahvenanmaa	PRESENT	1	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	59.950427	20.880235	1000.0						2000-06-11T00:00:00	11	6	2000	4464307	4464307	PRESERVED_SPECIMEN	MZH	FC	http://id.luomus.fi/KF.19628		Iivarinen, Risto		CC_BY_4_0		Iivarinen, Risto			2024-01-14T05:37:49.169Z		COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4412729577	fb7078b9-63e4-41c1-8496-10f67ea1e1b9	http://id.luomus.fi/MY.14963464	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus Boheman, 1845		AX		Ahvenanmaa	PRESENT	1	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	59.950427	20.880235	1000.0						2000-06-11T00:00:00	11	6	2000	4464307	4464307	PRESERVED_SPECIMEN	MZH	FC	http://id.luomus.fi/KF.19629		Iivarinen, Risto		CC_BY_4_0		Iivarinen, Risto			2024-01-14T05:37:49.168Z		COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4412729566	fb7078b9-63e4-41c1-8496-10f67ea1e1b9	http://id.luomus.fi/MY.14963468	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus Boheman, 1845		AX		Ahvenanmaa	PRESENT	1	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	59.950427	20.880235	1000.0						2000-06-11T00:00:00	11	6	2000	4464307	4464307	PRESERVED_SPECIMEN	MZH	FC	http://id.luomus.fi/KF.19630		Iivarinen, Risto		CC_BY_4_0		Iivarinen, Risto			2024-01-14T05:37:49.168Z		COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4412729553	fb7078b9-63e4-41c1-8496-10f67ea1e1b9	http://id.luomus.fi/MY.14963476	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus Boheman, 1845		AX		Ahvenanmaa	PRESENT	1	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	59.950427	20.880235	1000.0						2000-06-11T00:00:00	11	6	2000	4464307	4464307	PRESERVED_SPECIMEN	MZH	FC	http://id.luomus.fi/KF.19632		Iivarinen, Risto		CC_BY_4_0		Iivarinen, Risto			2024-01-14T05:37:49.166Z		COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4412729546	fb7078b9-63e4-41c1-8496-10f67ea1e1b9	http://id.luomus.fi/MY.14963436	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus Boheman, 1845		AX		Ahvenanmaa	PRESENT	1	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	59.950427	20.880235	1000.0						2000-06-11T00:00:00	11	6	2000	4464307	4464307	PRESERVED_SPECIMEN	MZH	FC	http://id.luomus.fi/KF.19622		Iivarinen, Risto		CC_BY_4_0		Iivarinen, Risto			2024-01-14T05:37:49.165Z		COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4412729533	fb7078b9-63e4-41c1-8496-10f67ea1e1b9	http://id.luomus.fi/MY.14963444	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Ceutorhynchus	Ceutorhynchus atomus		SPECIES	Ceutorhynchus atomus Boheman, 1845	Ceutorhynchus atomus Boheman, 1845		AX		Ahvenanmaa	PRESENT	1	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	59.950427	20.880235	1000.0						2000-06-11T00:00:00	11	6	2000	4464307	4464307	PRESERVED_SPECIMEN	MZH	FC	http://id.luomus.fi/KF.19624		Iivarinen, Risto		CC_BY_4_0		Iivarinen, Risto			2024-01-14T05:37:49.165Z		COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
