gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
900406782	991a1a20-27fc-11e2-85e3-00145eb45e9a		Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi		KR			PRESENT		657b7bf0-766b-11d9-9f77-b8a03c50a862													2077143	2077143	PRESERVED_SPECIMEN	KIDR	IN	2355				CC_BY_NC_4_0					2023-09-07T09:13:14.907Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE
900406775	991a1a20-27fc-11e2-85e3-00145eb45e9a		Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipahis erysimi		KR			PRESENT		657b7bf0-766b-11d9-9f77-b8a03c50a862													2077143	2077143	PRESERVED_SPECIMEN	KIDR	IN	2352				CC_BY_NC_4_0					2023-09-07T09:13:14.907Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_NONE
900405615	991a1a20-27fc-11e2-85e3-00145eb45e9a		Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi		KR			PRESENT		657b7bf0-766b-11d9-9f77-b8a03c50a862													2077143	2077143	PRESERVED_SPECIMEN	KIDR	IN	746				CC_BY_NC_4_0					2023-09-07T09:13:14.904Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE
896925531	ecca1a3e-3b7d-4229-8a7a-d106997e6d03	http://arctos.database.museum/guid/UAMObs:Ento:65653?seid=1418376	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi		US	No specific locality recorded.	Alaska	PRESENT		d9699a79-4736-45c2-925c-f4033ac67d52									1800-01-01T00:00:00	1	1	1800	2077143	2077143	HUMAN_OBSERVATION	UAM	Ento	UAMObs:Ento:65653		unknown	2000-01-01T00:00:00	CC_BY_4_0		Collector(s): unknown			2023-11-29T00:29:11.592Z		TYPE_STATUS_INVALID
4500756320	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/14099994	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi		TW		Kaohsiung	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.762502	120.339062	15.0						2017-05-09T02:23:00	9	5	2017	2077143	2077143	HUMAN_OBSERVATION	iNaturalist	Observations	14099994		螯蝦	2019-01-24T09:54:58	CC0_1_0	螯蝦	螯蝦			2024-01-03T22:13:43.503Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4418963484	7e380070-f762-11e1-a439-00145eb45e9a	2aedda77-cc7f-4224-8467-cd8c1e3b304f	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi Kaltenbach, 1843	Kaltenbach, 1843	GB		England	PRESENT	1	19456090-b49a-11d8-abeb-b8a03c50a862													2077143	2077143	PRESERVED_SPECIMEN	NHMUK	BMNH(E)	NHMUK014826002				CC0_1_0					2024-01-02T06:24:06.294Z	StillImage	MODIFIED_DATE_INVALID;MULTIMEDIA_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4418959718	7e380070-f762-11e1-a439-00145eb45e9a	400aab19-2157-4a5a-8bc4-64c7c52ce581	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi Kaltenbach, 1843	Kaltenbach, 1843	GB		England	PRESENT	1	19456090-b49a-11d8-abeb-b8a03c50a862													2077143	2077143	PRESERVED_SPECIMEN	NHMUK	BMNH(E)	NHMUK014825999				CC0_1_0					2024-01-02T06:24:05.348Z	StillImage	MODIFIED_DATE_INVALID;MULTIMEDIA_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4418936771	7e380070-f762-11e1-a439-00145eb45e9a	e10ae178-1ee0-4dfd-923e-c770a0a77970	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi Kaltenbach, 1843	Kaltenbach, 1843	GB		England	PRESENT	1	19456090-b49a-11d8-abeb-b8a03c50a862													2077143	2077143	PRESERVED_SPECIMEN	NHMUK	BMNH(E)	NHMUK014826001				CC0_1_0					2024-01-02T06:24:51.169Z	StillImage	MODIFIED_DATE_INVALID;MULTIMEDIA_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4418929646	7e380070-f762-11e1-a439-00145eb45e9a	8ec3ea4d-7af5-4471-aac6-3eafbf1cf2b1	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi Kaltenbach, 1843	Kaltenbach, 1843	GB		England	PRESENT	1	19456090-b49a-11d8-abeb-b8a03c50a862													2077143	2077143	PRESERVED_SPECIMEN	NHMUK	BMNH(E)	NHMUK014826000				CC0_1_0					2024-01-02T06:24:45.376Z	StillImage	MODIFIED_DATE_INVALID;MULTIMEDIA_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4418927521	7e380070-f762-11e1-a439-00145eb45e9a	a1eb86a5-5b63-473e-bc5c-b189bc8f3887	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Lipaphis	Lipaphis erysimi		SPECIES	Lipaphis erysimi (Kaltenbach, 1843)	Lipaphis erysimi Kaltenbach, 1843	Kaltenbach, 1843	GB		England	PRESENT	1	19456090-b49a-11d8-abeb-b8a03c50a862													2077143	2077143	PRESERVED_SPECIMEN	NHMUK	BMNH(E)	NHMUK014825998				CC0_1_0					2024-01-02T06:25:25.631Z	StillImage	MODIFIED_DATE_INVALID;MULTIMEDIA_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
